街道方向熵,地理区域
2.699020178,北方地区
3.393705905,北方地区
2.536450608,北方地区
2.970984698,北方地区
2.172834486,北方地区
2.737108491,北方地区
2.703094581,北方地区
3.289909106,北方地区
3.246464806,北方地区
3.044051071,北方地区
2.394883891,北方地区
2.877375721,北方地区
2.564305189,北方地区
2.913583909,北方地区
3.235294937,北方地区
2.699689491,北方地区
2.779686558,北方地区
3.324470603,北方地区
2.923485881,北方地区
2.553954816,北方地区
2.903398,北方地区
2.983244051,北方地区
3.467442441,北方地区
3.378448867,北方地区
2.231690861,北方地区
2.597928132,北方地区
2.675234187,北方地区
2.741455921,北方地区
2.610145004,北方地区
2.480442015,北方地区
2.751490094,北方地区
2.795523303,北方地区
3.05218098,北方地区
2.805780658,北方地区
2.831735111,北方地区
2.649182132,北方地区
3.260537027,北方地区
3.200405207,北方地区
2.246352443,北方地区
2.349767894,北方地区
2.592011273,北方地区
2.380480687,北方地区
2.564558771,北方地区
3.445853829,北方地区
3.085297366,北方地区
3.526726943,北方地区
2.60622932,北方地区
3.429177264,北方地区
2.547790629,北方地区
2.529606389,北方地区
2.302767048,北方地区
2.774768232,北方地区
2.536761225,北方地区
3.080056247,北方地区
3.075714841,北方地区
2.200439824,北方地区
3.189851774,北方地区
2.804924103,北方地区
3.152662752,北方地区
2.796348184,北方地区
2.636373444,北方地区
2.942710184,北方地区
2.233837869,北方地区
2.726198069,北方地区
3.101957436,北方地区
3.186952084,北方地区
2.499816946,北方地区
3.114302433,北方地区
2.940379589,北方地区
2.675109972,北方地区
2.693149382,北方地区
2.852232534,北方地区
2.720788596,北方地区
2.93132949,北方地区
2.235564062,北方地区
2.476983743,北方地区
3.302184342,北方地区
3.118333814,北方地区
2.590283654,北方地区
2.642884012,北方地区
2.30286527,北方地区
2.923460439,北方地区
2.743066508,北方地区
2.348583167,北方地区
2.041760946,北方地区
3.295061635,北方地区
2.488022616,北方地区
2.555152282,北方地区
2.561568955,北方地区
2.935413777,北方地区
2.98772138,北方地区
2.997893749,北方地区
3.192672551,北方地区
2.830561702,北方地区
3.013321649,北方地区
3.042224797,北方地区
2.314909944,北方地区
3.154899361,北方地区
3.200951733,北方地区
3.177782184,北方地区
2.700588966,北方地区
2.443004687,北方地区
2.639917909,北方地区
2.162456348,北方地区
3.048284585,北方地区
2.986613746,北方地区
2.814821125,北方地区
2.649582811,北方地区
2.942228483,北方地区
2.552433635,北方地区
3.442026372,北方地区
2.617464981,北方地区
2.336340339,北方地区
2.564687294,北方地区
3.107906725,北方地区
2.164629376,北方地区
2.920792399,北方地区
2.881451263,北方地区
3.348576657,北方地区
2.162145693,北方地区
2.724703089,北方地区
3.259948228,北方地区
3.120471359,北方地区
3.356122108,北方地区
2.814156067,北方地区
3.407123729,北方地区
3.382817603,北方地区
3.36314442,北方地区
2.606086767,北方地区
2.33443894,北方地区
2.03011437,北方地区
3.09001819,北方地区
2.715206149,北方地区
2.794147567,北方地区
3.350299856,北方地区
3.268429765,北方地区
3.020726811,北方地区
2.438197726,北方地区
2.858048721,北方地区
2.135571747,北方地区
2.889423016,北方地区
2.686138554,北方地区
2.728721293,北方地区
2.775715172,北方地区
3.187405206,北方地区
3.361108735,北方地区
2.462714946,北方地区
2.343579647,北方地区
2.75749884,北方地区
2.907462106,北方地区
2.84783924,北方地区
2.746293426,北方地区
3.093668704,北方地区
2.798119366,北方地区
3.240633151,北方地区
3.085808748,北方地区
2.871158881,北方地区
3.229663588,北方地区
3.454114318,北方地区
3.135935517,北方地区
3.518869453,北方地区
2.363356138,北方地区
2.475226084,北方地区
2.766217982,北方地区
2.720383298,北方地区
2.606542688,北方地区
2.520863874,北方地区
2.100610179,北方地区
2.971731033,北方地区
2.787692371,北方地区
3.312276932,北方地区
2.321960522,北方地区
2.714950495,北方地区
2.246687017,北方地区
2.263843513,北方地区
2.861696286,北方地区
2.593734431,北方地区
2.702435557,北方地区
3.361033274,北方地区
2.467018158,北方地区
2.716910539,北方地区
3.030049523,北方地区
2.24286089,北方地区
2.375474956,北方地区
3.18002832,北方地区
3.137225033,北方地区
2.798424809,北方地区
3.068955653,北方地区
3.385842821,北方地区
3.200277881,北方地区
3.038162147,北方地区
2.67934606,北方地区
2.010103845,北方地区
2.721511274,北方地区
2.851473908,北方地区
2.653549253,北方地区
2.082620555,北方地区
2.300585455,北方地区
2.744562796,北方地区
3.003013575,北方地区
2.864021149,北方地区
2.060077687,北方地区
3.084350346,北方地区
2.535701459,北方地区
3.200039153,北方地区
2.703600124,北方地区
2.406221307,北方地区
3.125078868,北方地区
2.946440388,北方地区
2.496077183,北方地区
2.96805271,北方地区
3.082111991,北方地区
2.473394787,北方地区
3.026431572,北方地区
2.590678602,北方地区
3.273006831,北方地区
2.890465602,北方地区
3.072391865,北方地区
2.952314184,北方地区
2.818613124,北方地区
3.144853695,北方地区
2.801092297,北方地区
1.679068449,北方地区
1.635510087,北方地区
1.633653801,北方地区
3.163853066,北方地区
3.083888197,北方地区
3.155119877,北方地区
3.279134822,北方地区
2.991427852,北方地区
3.115448465,北方地区
2.749644462,北方地区
2.741372081,北方地区
3.012865589,北方地区
3.3333867,北方地区
2.932119525,北方地区
3.116423429,北方地区
3.226483882,北方地区
3.540920263,北方地区
2.724883331,北方地区
2.360996742,北方地区
3.389046633,北方地区
3.41748073,北方地区
2.393582795,北方地区
3.195836398,北方地区
2.421194538,北方地区
2.2091822,北方地区
2.760200019,北方地区
2.520346371,北方地区
2.40339199,北方地区
2.803970223,北方地区
2.727543185,北方地区
2.723164019,北方地区
2.392896188,北方地区
2.807431577,北方地区
2.40624194,北方地区
2.489954622,北方地区
2.855531476,北方地区
2.181966523,北方地区
1.905104296,北方地区
2.409526729,北方地区
2.559911542,北方地区
3.299887543,北方地区
2.680459892,北方地区
2.531715793,北方地区
2.354272231,北方地区
2.812995149,北方地区
3.105470849,北方地区
3.261187389,北方地区
2.749346112,北方地区
2.099111585,北方地区
2.764275391,北方地区
3.049078276,北方地区
2.292083782,北方地区
2.155200218,北方地区
2.714236244,北方地区
2.725545126,北方地区
3.213458061,北方地区
3.453549487,北方地区
3.363636603,北方地区
2.513787169,北方地区
2.318234263,北方地区
3.392131996,北方地区
2.9950342,北方地区
3.335027497,北方地区
2.645117531,北方地区
2.578089933,北方地区
2.342028846,北方地区
2.017660384,北方地区
1.90688353,北方地区
2.217884336,北方地区
2.312995749,北方地区
2.408521507,北方地区
2.742324167,北方地区
3.107256346,北方地区
2.718978299,北方地区
2.784743527,北方地区
2.32727309,北方地区
2.626010494,北方地区
2.650514074,北方地区
2.599224691,北方地区
2.552465482,北方地区
2.48905257,北方地区
2.365960603,北方地区
2.332026556,北方地区
2.441665749,北方地区
2.781033842,北方地区
3.025549725,北方地区
3.319553959,北方地区
2.486988833,北方地区
2.647837998,北方地区
2.780465484,北方地区
2.717142154,北方地区
2.641782047,北方地区
2.87308192,北方地区
2.796603561,北方地区
3.249984534,北方地区
2.518672806,北方地区
2.781741494,北方地区
3.061205836,北方地区
3.247907368,北方地区
2.084036866,北方地区
2.612117195,北方地区
2.290408502,北方地区
2.993815588,北方地区
1.948977328,北方地区
3.000771591,北方地区
3.24981753,北方地区
3.150315284,北方地区
3.037039039,北方地区
2.680772275,北方地区
3.261072176,北方地区
2.078210599,北方地区
3.240639934,北方地区
3.22698239,北方地区
3.258105849,北方地区
3.455022602,北方地区
3.126216472,北方地区
3.273562298,北方地区
3.33712459,北方地区
3.050239226,北方地区
2.768838855,北方地区
2.918302131,北方地区
2.647365306,北方地区
2.385035439,北方地区
2.188732683,北方地区
3.112813923,北方地区
2.863677867,北方地区
3.256677216,北方地区
3.120579572,北方地区
2.954948406,北方地区
3.326715035,北方地区
2.663896849,北方地区
3.043160931,北方地区
2.735011711,北方地区
2.815154742,北方地区
2.508017826,北方地区
2.71878271,北方地区
2.473574619,北方地区
2.769619971,北方地区
2.965465752,北方地区
2.887112856,北方地区
2.906243681,北方地区
3.277561779,北方地区
3.160060567,北方地区
2.485309567,北方地区
3.037594679,北方地区
2.967707904,北方地区
2.75132006,北方地区
2.719886119,北方地区
2.884093995,北方地区
3.065601645,北方地区
2.809918986,北方地区
2.99604994,北方地区
3.115798979,北方地区
2.592792639,北方地区
2.905083054,北方地区
3.266475181,北方地区
3.432778399,北方地区
2.684207378,北方地区
2.813504716,北方地区
2.858300689,北方地区
3.368547789,北方地区
3.050379554,北方地区
3.409840078,北方地区
3.085527763,北方地区
3.11339969,北方地区
3.389986667,北方地区
2.215435467,北方地区
2.870998524,北方地区
3.35061119,北方地区
2.114861842,北方地区
2.490737702,北方地区
3.039037179,北方地区
2.807365977,北方地区
2.793258904,北方地区
2.658700558,北方地区
2.527823759,北方地区
2.848051197,北方地区
2.481734974,北方地区
2.507879553,北方地区
3.143266949,北方地区
2.940282843,北方地区
2.459628471,北方地区
2.309212789,北方地区
2.869556533,北方地区
2.443468731,北方地区
2.378024096,北方地区
2.664009363,北方地区
2.240507634,北方地区
2.82121134,北方地区
2.738089009,北方地区
3.02419297,北方地区
3.429437843,北方地区
3.048588971,北方地区
3.388134303,南方地区
2.771898571,南方地区
2.704289003,南方地区
2.515390975,南方地区
3.362856327,南方地区
2.954163301,南方地区
2.357411989,南方地区
2.866700476,南方地区
3.350027502,南方地区
3.514319714,南方地区
3.160780598,南方地区
