Entropy,Area
3.200405207,North
2.246352443,North
2.349767894,North
2.592011273,North
2.380480687,North
2.564558771,North
3.445853829,North
3.085297366,North
3.526726943,North
2.60622932,North
3.429177264,North
2.547790629,North
2.529606389,North
2.302767048,North
2.774768232,North
2.536761225,North
3.080056247,North
3.075714841,North
2.200439824,North
3.189851774,North
2.804924103,North
3.152662752,North
2.796348184,North
2.636373444,North
2.942710184,North
2.233837869,North
2.726198069,North
3.101957436,North
3.186952084,North
2.499816946,North
3.114302433,North
2.940379589,North
2.675109972,North
2.693149382,North
2.852232534,North
2.720788596,North
2.93132949,North
2.235564062,North
2.476983743,North
3.302184342,North
3.118333814,North
2.590283654,North
2.642884012,North
2.30286527,North
2.923460439,North
2.743066508,North
2.348583167,North
2.041760946,North
3.295061635,North
2.488022616,North
2.555152282,North
2.561568955,North
2.935413777,North
2.98772138,North
2.997893749,North
3.192672551,North
2.830561702,North
3.013321649,North
3.042224797,North
2.314909944,North
3.154899361,North
3.200951733,North
3.177782184,North
2.700588966,North
2.443004687,North
2.639917909,North
2.162456348,North
3.048284585,North
2.986613746,North
2.814821125,North
2.649582811,North
2.942228483,North
2.552433635,North
3.442026372,North
2.617464981,North
2.336340339,North
2.564687294,North
3.107906725,North
2.164629376,North
2.920792399,North
2.881451263,North
3.348576657,North
2.162145693,North
2.724703089,North
3.259948228,North
3.120471359,North
3.356122108,North
2.814156067,North
3.407123729,North
3.382817603,North
3.36314442,North
2.606086767,North
2.33443894,North
2.03011437,North
3.09001819,North
2.715206149,North
2.794147567,North
3.350299856,North
3.268429765,North
3.020726811,North
2.438197726,North
2.858048721,North
2.135571747,North
2.889423016,North
2.686138554,North
2.728721293,North
2.775715172,North
3.187405206,North
3.361108735,North
2.462714946,North
2.343579647,North
2.75749884,North
2.907462106,North
2.84783924,North
2.746293426,North
3.093668704,North
2.798119366,North
3.240633151,North
3.085808748,North
2.871158881,North
3.229663588,North
3.454114318,North
3.135935517,North
3.518869453,North
2.363356138,North
2.475226084,North
2.766217982,North
2.720383298,North
2.606542688,North
2.520863874,North
2.100610179,North
2.971731033,North
2.787692371,North
3.312276932,North
2.321960522,North
2.714950495,North
2.246687017,North
2.263843513,North
2.861696286,North
2.593734431,North
2.702435557,North
3.361033274,North
2.467018158,North
2.716910539,North
3.030049523,North
2.24286089,North
2.375474956,North
3.18002832,North
3.137225033,North
2.798424809,North
3.068955653,North
3.385842821,North
3.200277881,North
3.038162147,North
2.67934606,North
2.010103845,North
2.721511274,North
2.851473908,North
2.653549253,North
2.082620555,North
2.300585455,North
2.744562796,North
3.003013575,North
2.864021149,North
2.060077687,North
3.084350346,North
2.535701459,North
3.200039153,North
2.703600124,North
2.406221307,North
3.125078868,North
2.946440388,North
2.496077183,North
2.96805271,North
3.082111991,North
2.473394787,North
3.026431572,North
2.590678602,North
3.273006831,North
2.890465602,North
3.072391865,North
2.952314184,North
2.818613124,North
3.144853695,North
2.801092297,North
1.679068449,North
1.635510087,North
1.633653801,North
3.163853066,North
3.083888197,North
3.155119877,North
3.279134822,North
2.991427852,North
3.115448465,North
2.749644462,North
2.741372081,North
3.012865589,North
3.3333867,North
2.932119525,North
3.116423429,North
3.226483882,North
3.540920263,North
2.724883331,North
2.360996742,North
3.389046633,North
3.41748073,North
2.393582795,North
3.195836398,North
2.421194538,North
2.2091822,North
2.760200019,North
2.520346371,North
2.40339199,North
2.803970223,North
2.727543185,North
2.723164019,North
2.392896188,North
2.807431577,North
2.40624194,North
2.489954622,North
2.855531476,North
2.181966523,North
1.905104296,North
2.409526729,North
2.559911542,North
3.299887543,North
2.680459892,North
2.531715793,North
2.354272231,North
2.812995149,North
3.105470849,North
3.261187389,North
2.749346112,North
2.099111585,North
2.764275391,North
3.049078276,North
2.292083782,North
2.155200218,North
2.714236244,North
2.725545126,North
3.213458061,North
3.453549487,North
3.363636603,North
2.513787169,North
2.318234263,North
3.392131996,North
2.9950342,North
3.335027497,North
2.645117531,North
2.578089933,North
2.342028846,North
2.017660384,North
1.90688353,North
2.217884336,North
2.312995749,North
2.408521507,North
2.742324167,North
3.107256346,North
2.718978299,North
2.784743527,North
2.32727309,North
2.626010494,North
2.650514074,North
2.599224691,North
2.552465482,North
2.48905257,North
2.365960603,North
2.332026556,North
2.441665749,North
2.781033842,North
3.025549725,North
3.319553959,North
2.486988833,North
2.647837998,North
2.780465484,North
2.717142154,North
2.641782047,North
2.87308192,North
2.796603561,North
3.249984534,North
2.518672806,North
2.781741494,North
3.061205836,North
3.247907368,North
2.084036866,North
2.612117195,North
2.290408502,North
2.993815588,North
1.948977328,North
3.000771591,North
3.24981753,North
3.150315284,North
3.037039039,North
2.680772275,North
3.261072176,North
2.078210599,North
3.240639934,North
3.22698239,North
3.258105849,North
3.455022602,North
3.126216472,North
3.273562298,North
3.33712459,North
3.050239226,North
2.768838855,North
2.918302131,North
2.647365306,North
2.385035439,North
2.188732683,North
3.112813923,North
2.863677867,North
3.256677216,North
3.120579572,North
2.954948406,North
3.326715035,North
2.663896849,North
3.043160931,North
2.735011711,North
2.815154742,North
2.508017826,North
2.71878271,North
2.473574619,North
2.769619971,North
2.965465752,North
2.887112856,North
2.906243681,North
3.277561779,North
3.160060567,North
2.485309567,North
3.037594679,North
2.967707904,North
2.75132006,North
2.719886119,North
2.884093995,North
3.065601645,North
2.809918986,North
2.99604994,North
3.115798979,North
2.592792639,North
2.905083054,North
3.266475181,North
3.432778399,North
2.684207378,North
2.813504716,North
2.858300689,North
3.368547789,North
